"Date","Price","Open","High","Low","Change %"
"Oct 15, 2016","0.8429","0.8429","0.8429","0.8429","0.00%"
"Oct 14, 2016","0.8429","0.8510","0.8630","0.8190","0.52%"
"Oct 13, 2016","0.8385","0.8630","0.8630","0.8340","-2.78%"
"Oct 12, 2016","0.8625","0.8740","0.8910","0.8630","-0.91%"
"Oct 11, 2016","0.8704","0.8740","0.8740","0.8580","0.01%"
"Oct 10, 2016","0.8703","0.8703","0.8703","0.8703","3.83%"
"Oct 07, 2016","0.8382","0.8500","0.8780","0.8340","-1.80%"
"Oct 06, 2016","0.8536","0.8420","0.8580","0.8340","1.91%"
"Oct 05, 2016","0.8376","0.8260","0.8570","0.8140","1.47%"
"Oct 04, 2016","0.8255","0.8020","0.8340","0.7940","3.50%"
"Oct 03, 2016","0.7976","0.7780","0.8020","0.7740","3.08%"
"Oct 02, 2016","0.7738","0.7658","0.7738","0.7658","1.04%"
"Sep 30, 2016","0.7658","0.7300","0.7660","0.7180","3.74%"
"Sep 29, 2016","0.7382","0.7660","0.7780","0.7340","-2.60%"
"Sep 28, 2016","0.7579","0.7540","0.7620","0.7340","1.58%"
"Sep 27, 2016","0.7461","0.7540","0.7700","0.7300","1.14%"
"Sep 26, 2016","0.7377","0.7580","0.7580","0.7290","-2.16%"
"Sep 25, 2016","0.7540","0.7581","0.7581","0.7540","-0.54%"
"Sep 24, 2016","0.7581","0.7581","0.7581","0.7581","0.00%"
"Sep 23, 2016","0.7581","0.7830","0.7870","0.7540","-2.10%"
"Sep 22, 2016","0.7744","0.7790","0.7870","0.7620","-0.51%"
"Sep 21, 2016","0.7784","0.7780","0.8480","0.7660","0.00%"
"Sep 20, 2016","0.7784","0.7820","0.7830","0.7700","0.00%"
"Sep 19, 2016","0.7784","0.7660","0.7820","0.7580","1.06%"
"Sep 18, 2016","0.7702","0.7702","0.7702","0.7702","0.00%"
"Sep 17, 2016","0.7702","0.7702","0.7702","0.7702","0.00%"
"Sep 16, 2016","0.7702","0.7340","0.7780","0.7260","4.96%"
"Sep 15, 2016","0.7338","0.7620","0.7700","0.7220","-3.70%"
"Sep 14, 2016","0.7620","0.7940","0.8020","0.7540","-5.02%"
"Sep 13, 2016","0.8023","0.7620","0.8140","0.7500","3.64%"
"Sep 12, 2016","0.7741","0.7780","0.8060","0.7700","-1.02%"
"Sep 11, 2016","0.7821","0.7821","0.7821","0.7821","0.00%"
"Sep 09, 2016","0.7821","0.7700","0.8020","0.7700","1.05%"
"Sep 08, 2016","0.7740","0.7420","0.7820","0.7380","4.88%"
"Sep 07, 2016","0.7380","0.7380","0.7420","0.7220","1.08%"
"Sep 06, 2016","0.7301","0.8060","0.8060","0.7300","-8.93%"
"Sep 05, 2016","0.8017","0.7937","0.8017","0.7937","1.01%"
"Sep 02, 2016","0.7937","0.7860","0.8060","0.7460","1.03%"
"Sep 01, 2016","0.7856","0.8090","0.8210","0.7820","-2.93%"
"Aug 31, 2016","0.8093","0.8050","0.8170","0.7820","0.50%"
"Aug 30, 2016","0.8053","0.8210","0.8290","0.7970","-0.48%"
"Aug 29, 2016","0.8092","0.8450","0.8530","0.8050","-4.65%"
"Aug 28, 2016","0.8487","0.8526","0.8566","0.8487","0.47%"
"Aug 26, 2016","0.8447","0.7930","0.8490","0.7660","6.47%"
"Aug 25, 2016","0.7934","0.7660","0.7930","0.7580","3.62%"
"Aug 24, 2016","0.7657","0.7660","0.7700","0.7500","2.65%"
"Aug 23, 2016","0.7459","0.7500","0.7620","0.7380","0.55%"
"Aug 22, 2016","0.7418","0.7700","0.7830","0.7380","-3.70%"
"Aug 21, 2016","0.7703","0.7662","0.7703","0.7662","2.71%"
"Aug 19, 2016","0.7500","0.7140","0.7540","0.7130","5.71%"
"Aug 18, 2016","0.7095","0.7180","0.7340","0.7060","-2.77%"
"Aug 17, 2016","0.7297","0.7460","0.7740","0.7100","-2.71%"
"Aug 16, 2016","0.7500","0.7260","0.7580","0.6860","2.77%"
"Aug 15, 2016","0.7298","0.7060","0.7300","0.6900","3.42%"
"Aug 14, 2016","0.7057","0.7057","0.7057","0.7017","0.00%"
"Aug 13, 2016","0.7057","0.7057","0.7057","0.7057","0.00%"
"Aug 12, 2016","0.7057","0.7500","0.7500","0.6780","-5.40%"
"Aug 11, 2016","0.7460","0.6940","0.7540","0.6860","8.12%"
"Aug 10, 2016","0.6900","0.7020","0.7140","0.6860","-3.36%"
"Aug 09, 2016","0.7140","0.7300","0.7380","0.7100","-1.65%"
"Aug 08, 2016","0.7260","0.7380","0.7460","0.7140","-1.09%"
"Aug 07, 2016","0.7340","0.7420","0.7420","0.7340","1.09%"
"Aug 06, 2016","0.7261","0.7261","0.7261","0.7261","0.00%"
"Aug 05, 2016","0.7261","0.6430","0.7260","0.6430","12.24%"
"Aug 04, 2016","0.6469","0.6750","0.6830","0.6430","-3.56%"
"Aug 03, 2016","0.6708","0.6870","0.6910","0.6670","-1.76%"
"Aug 02, 2016","0.6828","0.6830","0.7060","0.6710","-0.58%"
"Aug 01, 2016","0.6868","0.6630","0.6910","0.6630","3.56%"
"Jul 31, 2016","0.6632","0.6632","0.6632","0.6593","0.59%"
"Jul 29, 2016","0.6593","0.7030","0.7500","0.6590","-7.73%"
"Jul 28, 2016","0.7145","0.7260","0.7380","0.7110","-1.09%"
"Jul 27, 2016","0.7224","0.7620","0.7780","0.7220","-4.68%"
"Jul 26, 2016","0.7579","0.7620","0.7780","0.7460","2.52%"
"Jul 25, 2016","0.7393","0.7110","0.7430","0.7110","3.44%"
"Jul 24, 2016","0.7147","0.7106","0.7147","0.7106","1.16%"
"Jul 22, 2016","0.7065","0.6860","0.7190","0.6740","3.62%"
"Jul 21, 2016","0.6818","0.7140","0.7310","0.6820","-4.54%"
"Jul 20, 2016","0.7142","0.6980","0.7220","0.6900","2.94%"
"Jul 19, 2016","0.6938","0.6860","0.7020","0.6610","0.59%"
"Jul 18, 2016","0.6897","0.6900","0.7020","0.6780","1.20%"
"Jul 17, 2016","0.6815","0.6815","0.6815","0.6815","0.00%"
"Jul 15, 2016","0.6815","0.6730","0.7140","0.6650","0.62%"
"Jul 14, 2016","0.6773","0.6610","0.7010","0.6610","1.83%"
"Jul 13, 2016","0.6651","0.6930","0.6930","0.6610","-3.48%"
"Jul 12, 2016","0.6891","0.6530","0.6970","0.6490","4.89%"
"Jul 11, 2016","0.6570","0.6210","0.6610","0.6170","6.48%"
"Jul 10, 2016","0.6170","0.6170","0.6170","0.6170","0.65%"
"Jul 08, 2016","0.6130","0.6010","0.6570","0.5810","3.34%"
"Jul 07, 2016","0.5932","0.5810","0.6170","0.5730","2.05%"
"Jul 06, 2016","0.5813","0.5580","0.5890","0.5380","5.00%"
"Jul 05, 2016","0.5536","0.5890","0.5930","0.5500","-6.06%"
"Jul 04, 2016","0.5893","0.5973","0.5973","0.5893","-1.34%"
"Jul 01, 2016","0.5973","0.5860","0.6010","0.5540","2.00%"
"Jun 30, 2016","0.5856","0.6330","0.6490","0.5820","-8.60%"
"Jun 29, 2016","0.6407","0.6130","0.6410","0.6090","4.48%"
"Jun 28, 2016","0.6132","0.5940","0.6330","0.5860","2.64%"
"Jun 27, 2016","0.5974","0.5970","0.6050","0.5500","0.00%"
"Jun 26, 2016","0.5974","0.6368","0.6368","0.5857","-6.19%"
"Jun 24, 2016","0.6368","0.7430","0.7550","0.4990","-18.65%"
"Jun 23, 2016","0.7828","0.7590","0.7870","0.7510","4.76%"
"Jun 22, 2016","0.7472","0.7630","0.7670","0.7430","-2.58%"
"Jun 21, 2016","0.7670","0.7430","0.7710","0.7310","3.51%"
"Jun 20, 2016","0.7410","0.7290","0.7490","0.7130","1.06%"
"Jun 19, 2016","0.7332","0.6967","0.7332","0.6967","5.24%"
"Jun 17, 2016","0.6967","0.6970","0.7100","0.6810","1.06%"
"Jun 16, 2016","0.6894","0.6620","0.6930","0.6530","2.96%"
"Jun 15, 2016","0.6696","0.7300","0.7460","0.6660","-7.78%"
"Jun 14, 2016","0.7261","0.7220","0.7340","0.6820","1.09%"
"Jun 13, 2016","0.7183","0.7230","0.7340","0.7100","-0.58%"
"Jun 12, 2016","0.7225","0.7345","0.7345","0.7225","-1.63%"
"Jun 10, 2016","0.7345","0.7710","0.7710","0.7300","-4.73%"
"Jun 09, 2016","0.7710","0.7790","0.7830","0.7590","-1.04%"
"Jun 08, 2016","0.7791","0.7870","0.7950","0.7750","-0.54%"
