Date,Open_USD_CHF,Open_CHF_EUR,Open_CHF_GBP,Open_CHF_JPY,Open_CHF_CAD,Open_USD_JPY,Open_USD_EUR,Open_USD_GBP,Open_USD_CAD,Prev_Close_USD_CHF,Prev_Close_BondCH1m,Prev_Close_BondCH2y,Prev_Close_BondCH10y,Prev_Close_SMI,Prev_Close_BondUS1m,Prev_Close_BondUS2y,Prev_Close_BondUS10y,Prev_Close_SP500
2006-08-21,1.2325,0.6321,0.4311,93.87,0.9127,115.74,0.7795,0.5315,1.1257,1.2334,1.36,2.022,2.595,8084.18,5.132,4.883,4.847,1302.3
2006-08-22,1.2245,0.6336,0.4312,94.63,0.9123,115.91,0.776,0.5282,1.1176,1.2243,1.42,2.009,2.549,8057.59,5.141,4.866,4.817,1297.52
2006-08-23,1.2338,0.6326,0.4291,94.39,0.9038,116.5,0.7808,0.5296,1.1157,1.2343,1.46,1.944,2.526,8080.62,5.166,4.874,4.811,1298.82
2006-08-24,1.235,0.6332,0.4275,94.19,0.9002,116.35,0.7822,0.5282,1.1122,1.2353,1.42,1.947,2.549,8078.66,5.165,4.874,4.821,1292.99
2006-08-25,1.2385,0.6322,0.4275,94.05,0.8956,116.52,0.7831,0.5297,1.1099,1.2388,1.41,2.484,2.534,8098.97,5.168,4.887,4.805,1296.06
2006-08-28,1.2387,0.6323,0.4274,94.64,0.8945,117.27,0.7835,0.5297,1.1086,1.2399,1.42,2.466,2.517,8102.5,5.173,4.869,4.785,1295.09
2006-08-29,1.2364,0.6324,0.427,94.76,0.8983,117.2,0.7821,0.5281,1.1113,1.2374,1.45,2.477,2.516,8118.64,5.172,4.881,4.793,1301.78
2006-08-30,1.2285,0.6344,0.4286,94.91,0.9012,116.64,0.7797,0.5269,1.1084,1.2289,1.5,2.021,2.543,8165.58,5.187,4.866,4.785,1304.28
2006-08-31,1.2271,0.6345,0.4277,95.35,0.903,117.05,0.779,0.5251,1.1088,1.2271,1.44,2.002,2.517,8183.43,5.14,4.821,4.753,1305.37
2006-09-01,1.2317,0.6338,0.4263,95.31,0.8962,117.43,0.7809,0.525,1.1048,1.2311,1.46,2.007,2.473,8167.96,5.124,4.788,4.732,1303.82
2006-09-05,1.2288,0.6323,0.4268,94.47,0.9004,116.12,0.7775,0.5246,1.1069,1.2279,1.51,2.002,2.466,8230.15,5.05,4.762,4.724,1311.01
2006-09-06,1.2338,0.632,0.4279,94.07,0.8999,116.09,0.78,0.528,1.1113,1.2338,1.52,2.023,2.478,8226.22,4.968,4.803,4.785,1313.25
2006-09-07,1.2353,0.6318,0.4292,94.38,0.8953,116.64,0.7808,0.5303,1.1063,1.2353,1.52,2.042,2.504,8172.78,4.89,4.816,4.799,1300.26
2006-09-08,1.2424,0.6318,0.4287,93.71,0.893,116.47,0.7854,0.5329,1.1103,1.2426,1.58,2.035,2.479,8126.11,4.9,4.824,4.793,1294.02
2006-09-11,1.2478,0.6325,0.4294,93.68,0.8979,116.93,0.7894,0.536,1.1208,1.2483,1.53,2.058,2.468,8167.04,4.862,4.819,4.777,1298.92
2006-09-12,1.2448,0.6324,0.4306,94.4,0.9004,117.61,0.7876,0.5363,1.1214,1.245,1.55,2.098,2.48,8094.07,4.831,4.84,4.805,1299.54
2006-09-13,1.2512,0.6298,0.4264,94.19,0.895,117.86,0.7883,0.5336,1.1204,1.251,1.54,2.062,2.47,8195.14,4.742,4.823,4.775,1313.0
2006-09-14,1.2494,0.6301,0.4262,94.01,0.8953,117.5,0.7876,0.5327,1.1191,1.2502,1.53,2.068,2.448,8215.71,4.752,4.802,4.765,1318.07
2006-09-15,1.2524,0.6275,0.4232,93.76,0.8922,117.47,0.786,0.5301,1.1176,1.2519,1.57,2.057,2.462,8181.81,4.772,4.84,4.793,1316.28
2006-09-18,1.2576,0.629,0.4232,93.39,0.8895,117.48,0.7913,0.5325,1.1193,1.2555,1.61,2.061,2.451,8229.27,4.76,4.869,4.796,1319.66
2006-09-19,1.251,0.6295,0.4251,94.3,0.8932,117.98,0.7876,0.5319,1.1177,1.2508,1.6,2.085,2.499,8257.75,4.749,4.882,4.81,1321.18
2006-09-20,1.2521,0.6297,0.4244,93.91,0.9001,117.63,0.7887,0.5315,1.1277,1.2516,1.6,2.055,2.476,8232.14,4.722,4.805,4.739,1317.64
