"Date","Price","Open","High","Low","Change %"
"May 30, 2017","-0.890","-0.890","-0.890","-0.890","-4.30%"
"May 29, 2017","-0.930","-0.930","-0.930","-0.930","2.20%"
"May 28, 2017","-0.910","-0.910","-0.910","-0.910","2.25%"
"May 26, 2017","-0.890","-0.890","-0.890","-0.890","-3.26%"
"May 25, 2017","-0.920","-0.910","-0.890","-0.960","0.00%"
"May 24, 2017","-0.920","-0.920","-0.920","-0.920","3.37%"
"May 23, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"May 22, 2017","-0.890","-0.890","-0.890","-0.890","-3.26%"
"May 20, 2017","-0.920","-0.920","-0.920","-0.920","3.37%"
"May 19, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"May 18, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"May 17, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"May 16, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"May 15, 2017","-0.890","-0.890","-0.890","-0.890","-3.26%"
"May 14, 2017","-0.920","-0.920","-0.920","-0.920","-4.17%"
"May 12, 2017","-0.960","-0.960","-0.960","-0.960","7.87%"
"May 11, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"May 10, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"May 09, 2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"May 08, 2017","-0.900","-0.900","-0.900","-0.900","-2.17%"
"May 07, 2017","-0.920","-0.960","-0.920","-0.960","-4.17%"
"May 05, 2017","-0.960","-0.960","-0.960","-0.960","3.23%"
"May 04, 2017","-0.930","-0.930","-0.930","-0.930","4.49%"
"May 03, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"May 02, 2017","-0.900","-0.900","-0.900","-0.900","-10.00%"
"May 01, 2017","-1.000","-0.980","-0.980","-1.000","0.00%"
"Apr 30, 2017","-1.000","-1.000","-1.000","-1.000","2.04%"
"Apr 29, 2017","-0.980","-0.980","-0.980","-1.000","0.00%"
"Apr 28, 2017","-0.980","-0.980","-0.980","-0.980","10.11%"
"Apr 27, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Apr 26, 2017","-0.890","-0.890","-0.890","-0.890","-3.26%"
"Apr 25, 2017","-0.920","-0.920","-0.920","-0.920","1.10%"
"Apr 24, 2017","-0.910","-0.910","-0.910","-0.910","1.11%"
"Apr 22, 2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"Apr 21, 2017","-0.900","-0.900","-0.900","-0.900","-4.26%"
"Apr 20, 2017","-0.940","-0.940","-0.940","-0.940","5.62%"
"Apr 19, 2017","-0.890","-0.890","-0.890","-0.890","-6.32%"
"Apr 18, 2017","-0.950","-0.950","-0.950","-0.950","5.56%"
"Apr 17, 2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"Apr 16, 2017","-0.900","-0.900","-0.900","-0.900","-2.17%"
"Apr 14, 2017","-0.920","-0.920","-0.920","-0.920","3.37%"
"Apr 13, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Apr 12, 2017","-0.890","-0.890","-0.890","-0.890","-2.20%"
"Apr 11, 2017","-0.910","-0.910","-0.910","-0.910","2.25%"
"Apr 10, 2017","-0.890","-0.890","-0.890","-0.890","1.14%"
"Apr 09, 2017","-0.880","-0.880","-0.880","-0.880","-1.12%"
"Apr 07, 2017","-0.890","-0.890","-0.890","-0.890","-3.26%"
"Apr 06, 2017","-0.920","-0.920","-0.920","-0.920","2.22%"
"Apr 05, 2017","-0.900","-0.900","-0.900","-0.900","-6.25%"
"Apr 04, 2017","-0.960","-0.960","-0.960","-0.960","2.13%"
"Apr 03, 2017","-0.940","-0.940","-0.940","-0.940","-3.09%"
"Apr 01, 2017","-0.970","-0.970","-0.970","-0.970","2.11%"
"Mar 31, 2017","-0.950","-0.950","-0.950","-0.950","0.00%"
"Mar 30, 2017","-0.950","-0.950","-0.950","-0.950","0.00%"
"Mar 29, 2017","-0.950","-0.950","-0.950","-0.950","-4.04%"
"Mar 28, 2017","-0.990","-0.990","-0.990","-0.990","5.32%"
"Mar 27, 2017","-0.940","-0.940","-0.940","-0.940","-3.09%"
"Mar 26, 2017","-0.970","-0.970","-0.970","-0.970","0.00%"
"Mar 24, 2017","-0.970","-0.970","-0.970","-0.970","3.19%"
"Mar 23, 2017","-0.940","-0.940","-0.940","-0.940","-1.05%"
"Mar 22, 2017","-0.950","-0.950","-0.950","-0.950","-3.06%"
"Mar 21, 2017","-0.980","-0.980","-0.980","-0.980","4.26%"
"Mar 20, 2017","-0.940","-0.940","-0.940","-0.940","2.17%"
"Mar 19, 2017","-0.920","-0.920","-0.920","-0.920","0.00%"
"Mar 18, 2017","-0.920","-0.920","-0.920","-0.920","0.00%"
"Mar 17, 2017","-0.920","-0.920","-0.920","-0.920","-2.13%"
"Mar 16, 2017","-0.940","-0.940","-0.940","-0.940","-1.05%"
"Mar 15, 2017","-0.950","-0.950","-0.950","-0.950","1.06%"
"Mar 14, 2017","-0.940","-0.940","-0.940","-0.940","5.62%"
"Mar 13, 2017","-0.890","-0.890","-0.890","-0.890","-7.29%"
"Mar 10, 2017","-0.960","-0.960","-0.960","-0.960","7.87%"
"Mar 09, 2017","-0.890","-0.890","-0.890","-0.890","-3.26%"
"Mar 08, 2017","-0.920","-0.920","-0.920","-0.920","2.22%"
"Mar 07, 2017","-0.900","-0.900","-0.900","-0.900","1.12%"
"Mar 06, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Mar 03, 2017","-0.890","-0.890","-0.890","-0.890","-10.10%"
"Mar 02, 2017","-0.990","-0.990","-0.990","-0.990","0.00%"
"Mar 01, 2017","-0.990","-0.990","-0.990","-0.990","2.06%"
"Feb 28, 2017","-0.970","-0.970","-0.970","-0.970","-1.02%"
"Feb 27, 2017","-0.980","-0.980","-0.980","-0.980","0.00%"
"Feb 26, 2017","-0.980","-0.980","-0.980","-0.980","10.11%"
"Feb 24, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"Feb 23, 2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"Feb 22, 2017","-0.900","-0.900","-0.900","-0.900","-2.17%"
"Feb 21, 2017","-0.920","-0.920","-0.920","-0.920","-5.15%"
"Feb 20, 2017","-0.970","-0.970","-0.970","-0.970","8.99%"
"Feb 17, 2017","-0.890","-0.890","-0.890","-0.890","-11.00%"
"Feb 16, 2017","-1.000","-1.000","-1.000","-1.000","4.17%"
"Feb 15, 2017","-0.960","-0.960","-0.960","-0.960","4.35%"
"Feb 14, 2017","-0.920","-0.920","-0.920","-0.920","3.37%"
"Feb 13, 2017","-0.890","-0.890","-0.890","-0.890","-5.32%"
"Feb 10, 2017","-0.940","-0.940","-0.940","-0.940","-5.05%"
"Feb 09, 2017","-0.990","-0.990","-0.990","-0.990","4.21%"
"Feb 08, 2017","-0.950","-0.950","-0.950","-0.950","6.74%"
"Feb 07, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Feb 06, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"Feb 03, 2017","-0.900","-0.900","-0.900","-0.900","-9.09%"
"Feb 02, 2017","-0.990","-0.990","-0.990","-0.990","13.79%"
"Feb 01, 2017","-0.870","-0.870","-0.870","-0.870","-11.22%"
"Jan 31, 2017","-0.980","-0.980","-0.980","-0.980","10.11%"
"Jan 30, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Jan 27, 2017","-0.890","-0.890","-0.890","-0.890","-3.26%"
"Jan 26, 2017","-0.920","-0.920","-0.920","-0.920","2.22%"
"Jan 25, 2017","-0.900","-0.900","-0.900","-0.900","-3.23%"
"Jan 24, 2017","-0.930","-0.930","-0.930","-0.930","3.33%"
"Jan 23, 2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"Jan 20, 2017","-0.900","-0.900","-0.900","-0.900","1.12%"
"Jan 19, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Jan 18, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Jan 17, 2017","-0.890","-0.890","-0.890","-0.890","-4.30%"
"Jan 16, 2017","-0.930","-0.930","-0.930","-0.930","-2.11%"
"Jan 13, 2017","-0.950","-0.950","-0.950","-0.950","-3.06%"
"Jan 12, 2017","-0.980","-0.980","-0.980","-0.980","8.89%"
"Jan 11, 2017","-0.900","-0.900","-0.900","-0.900","1.12%"
"Jan 10, 2017","-0.890","-0.890","-0.890","-0.890","4.71%"
"Jan 09, 2017","-0.850","-0.850","-0.850","-0.850","-1.16%"
"Jan 06, 2017","-0.860","-0.860","-0.860","-0.860","-4.44%"
"Jan 05, 2017","-0.900","-0.900","-0.900","-0.900","-5.26%"
"Jan 04, 2017","-0.950","-0.950","-0.950","-0.950","4.40%"
"Jan 03, 2017","-0.910","-0.910","-0.910","-0.910","-17.27%"
"Jan 02, 2017","-1.100","-0.970","-0.940","-1.300","17.02%"
"Dec 30, 2016","-0.940","-0.940","-0.940","-0.940","9.30%"
"Dec 29, 2016","-0.860","-0.860","-0.860","-0.860","-14.00%"
"Dec 28, 2016","-1.000","-1.000","-1.000","-1.000","6.38%"
"Dec 27, 2016","-0.940","-0.940","-0.940","-0.940","-2.08%"
"Dec 26, 2016","-0.960","-0.960","-0.960","-0.960","0.00%"
"Dec 23, 2016","-0.960","-0.960","-0.960","-0.960","-2.04%"
"Dec 22, 2016","-0.980","-0.980","-0.980","-0.980","-18.33%"
"Dec 21, 2016","-1.200","-1.200","-1.200","-1.200","9.09%"
"Dec 20, 2016","-1.100","-1.100","-1.100","-1.100","0.00%"
"Dec 19, 2016","-1.100","-1.100","-1.100","-1.100","-9.84%"
"Dec 16, 2016","-1.220","-1.220","-1.220","-1.220","11.93%"
