Date,Close,US_infl,CH_infl,US_IR,SARON_close
2006-11-02,1.245,-0.148662042,0.0,5.18,1.633244
2006-11-03,1.2534,-0.148662042,0.0,5.18,1.618357
2006-11-06,1.2547,-0.148662042,0.0,5.17,1.641706
2006-11-07,1.2488,-0.148662042,0.0,5.2,1.66865
2006-11-08,1.25095,-0.148662042,0.0,5.2,1.68658
2006-11-09,1.2421,-0.148662042,0.0,5.19,1.658218
2006-11-10,1.2388,-0.148662042,0.0,5.2,1.694052
2006-11-13,1.2432,-0.148662042,0.0,5.17,1.706845
2006-11-14,1.2436,-0.148662042,0.0,5.24,1.776003
2006-11-15,1.2458,-0.148662042,0.0,5.24,1.806513
2006-11-16,1.2479,-0.148662042,0.0,5.22,1.839246
2006-11-17,1.2419,-0.148662042,0.0,5.19,1.956658
2006-11-20,1.2436,-0.148662042,0.0,5.19,1.79926
2006-11-21,1.24085,-0.148662042,0.0,5.26,1.699144
2006-11-22,1.2266,-0.148662042,0.0,5.25,1.686029
2006-11-23,1.2237,-0.148662042,0.0,5.25,1.714395
2006-11-24,1.2087,-0.148662042,0.0,5.21,1.750012
2006-11-27,1.2062,-0.148662042,0.0,5.22,1.732715
2006-11-28,1.2023,-0.148662042,0.0,5.27,1.792337
2006-11-29,1.21015,-0.148662042,0.0,5.26,1.764783
2006-11-30,1.1975,-0.148662042,0.0,5.22,1.768215
2006-12-01,1.1932,0.148883375,0.0,5.21,1.784345
2006-12-04,1.1933,0.148883375,0.0,5.13,1.716327
2006-12-05,1.1921,0.148883375,0.0,4.88,1.66666
2006-12-06,1.1959,0.148883375,0.0,4.91,1.422615
2006-12-07,1.1952,0.148883375,0.0,4.92,1.372712
2006-12-08,1.2053,0.148883375,0.0,4.89,1.350816
2006-12-11,1.2013,0.148883375,0.0,4.85,1.612274
2006-12-12,1.199,0.148883375,0.0,4.87,1.447052
2006-12-13,1.2056,0.148883375,0.0,4.86,1.573782
2006-12-14,1.2137,0.148883375,0.0,4.87,1.757549
2006-12-15,1.2207,0.148883375,0.0,4.78,2.08587
2006-12-18,1.2217,0.148883375,0.0,4.8,1.7174
2006-12-19,1.2129,0.148883375,0.0,4.84,1.780822
2006-12-20,1.2165,0.148883375,0.0,4.87,2.013523
2006-12-21,1.2163,0.148883375,0.0,4.84,1.927549
2006-12-22,1.2198,0.148883375,0.0,4.82,1.887716
2006-12-25,1.2196,0.148883375,0.0,4.82,1.887716
2006-12-26,1.2219,0.148883375,0.0,4.81,1.887716
2006-12-27,1.2255,0.148883375,0.0,4.75,1.848558
2006-12-28,1.2218,0.148883375,0.0,4.74,1.701237
2006-12-29,1.2196,0.148883375,0.0,4.75,1.897995
2007-01-01,1.2166,0.305252725,-0.7,4.75,1.897995
2007-01-02,1.2131,0.305252725,-0.7,4.79,1.897995
2007-01-03,1.225,0.305252725,-0.7,4.84,1.992454
2007-01-04,1.232,0.305252725,-0.7,4.8,2.02628
2007-01-05,1.2374,0.305252725,-0.7,4.81,1.941855
2007-01-08,1.2348,0.305252725,-0.7,4.87,1.798285
2007-01-09,1.2415,0.305252725,-0.7,4.9,1.407887
2007-01-10,1.2461,0.305252725,-0.7,4.94,1.494024
2007-01-11,1.2496,0.305252725,-0.7,4.99,1.99197
2007-01-12,1.2475,0.305252725,-0.7,4.98,1.84942
2007-01-15,1.2483,0.305252725,-0.7,4.98,1.474271
2007-01-16,1.2486,0.305252725,-0.7,5.0,1.698992
2007-01-17,1.247,0.305252725,-0.7,5.01,1.924981
2007-01-18,1.2472,0.305252725,-0.7,4.97,1.895756
2007-01-19,1.2485,0.305252725,-0.7,4.96,1.751168
2007-01-22,1.2492,0.305252725,-0.7,4.98,1.968985
2007-01-23,1.2427,0.305252725,-0.7,5.02,1.962467
2007-01-24,1.2482,0.305252725,-0.7,4.99,1.963207
2007-01-25,1.2479,0.305252725,-0.7,4.97,1.9086
2007-01-26,1.2537,0.305252725,-0.7,4.94,1.868447
2007-01-29,1.2519,0.305252725,-0.7,4.95,1.872229
2007-01-30,1.2514,0.305252725,-0.7,4.99,1.972454
2007-01-31,1.2445,0.305252725,-0.7,5.0,1.905279
2007-02-01,1.2439,0.535036756,0.2,4.99,1.95985
2007-02-02,1.2499,0.535036756,0.2,5.01,1.927828
2007-02-05,1.2481,0.535036756,0.2,5.06,1.905711
2007-02-06,1.2397,0.535036756,0.2,5.14,1.959676
2007-02-07,1.2404,0.535036756,0.2,5.15,1.970355
2007-02-08,1.2459,0.535036756,0.2,5.15,1.994327
2007-02-09,1.2476,0.535036756,0.2,5.15,1.925256
2007-02-12,1.2536,0.535036756,0.2,5.16,1.923605
2007-02-13,1.2472,0.535036756,0.2,5.24,1.880599
2007-02-14,1.239,0.535036756,0.2,5.23,1.920724
2007-02-15,1.23505,0.535036756,0.2,5.23,2.039693
2007-02-16,1.2353,0.535036756,0.2,5.23,2.043569
2007-02-19,1.2331,0.535036756,0.2,5.23,1.997134
2007-02-20,1.23555,0.535036756,0.2,5.23,1.991513
2007-02-21,1.238,0.535036756,0.2,5.27,1.942588
2007-02-22,1.238,0.535036756,0.2,5.26,1.95193
2007-02-23,1.2324,0.535036756,0.2,5.25,1.928068
2007-02-26,1.229,0.535036756,0.2,5.23,1.89379
2007-02-27,1.2179,0.535036756,0.2,5.22,1.890922
2007-02-28,1.2191,0.535036756,0.2,5.24,1.835111
2007-03-01,1.2239,0.910569585,0.1,5.25,2.004614
2007-03-02,1.2138,0.910569585,0.1,5.23,1.913376
2007-03-05,1.2206,0.910569585,0.1,5.22,1.958409
2007-03-06,1.2234,0.910569585,0.1,5.24,1.92551
2007-03-07,1.2163,0.910569585,0.1,5.24,1.944999
2007-03-08,1.2272,0.910569585,0.1,5.24,1.929497
2007-03-09,1.2316,0.910569585,0.1,5.22,1.885549
2007-03-12,1.2249,0.910569585,0.1,5.22,1.955926
2007-03-13,1.2169,0.910569585,0.1,5.23,2.024456
2007-03-14,1.217,0.910569585,0.1,5.24,2.006882
2007-03-15,1.213,0.910569585,0.1,5.21,1.978459
2007-03-16,1.2082,0.910569585,0.1,5.18,1.677594
2007-03-19,1.2111,0.910569585,0.1,5.17,0.759078
2007-03-20,1.2118,0.910569585,0.1,5.22,2.07241
2007-03-21,1.2087,0.910569585,0.1,5.24,2.119297
2007-03-22,1.2139,0.910569585,0.1,5.23,2.067243
2007-03-23,1.2187,0.910569585,0.1,5.24,1.95851
2007-03-26,1.2153,0.910569585,0.1,5.22,1.98487
2007-03-27,1.2107,0.910569585,0.1,5.2,1.834412
2007-03-28,1.21655,0.910569585,0.1,5.18,1.861651
2007-03-29,1.2172,0.910569585,0.1,5.05,1.886602
2007-03-30,1.2137,0.910569585,0.1,5.07,1.979335
2007-04-02,1.2148,0.649616269,1.1,5.12,1.970936
2007-04-03,1.22285,0.649616269,1.1,5.15,2.009617
2007-04-04,1.2193,0.649616269,1.1,5.16,2.012593
2007-04-05,1.2148,0.649616269,1.1,5.1,2.028586
2007-04-06,1.2233,0.649616269,1.1,5.1,2.028586
2007-04-09,1.2266,0.649616269,1.1,5.08,2.028586
2007-04-10,1.2174,0.649616269,1.1,5.0,2.046217
2007-04-11,1.2199,0.649616269,1.1,5.01,2.091348
2007-04-12,1.2161,0.649616269,1.1,5.0,1.984508
2007-04-13,1.2147,0.649616269,1.1,4.98,1.939084
2007-04-16,1.2146,0.649616269,1.1,4.97,2.017467
2007-04-17,1.2088,0.649616269,1.1,4.94,2.053188
2007-04-18,1.203,0.649616269,1.1,4.94,1.902466
2007-04-19,1.20468,0.649616269,1.1,4.93,1.90661
2007-04-20,1.2071,0.649616269,1.1,4.93,2.086739
2007-04-23,1.2087,0.649616269,1.1,4.93,2.057819
2007-04-24,1.2011,0.649616269,1.1,4.92,2.081044
2007-04-25,1.2057,0.649616269,1.1,4.94,2.051129
2007-04-26,1.2087,0.649616269,1.1,4.91,2.082024
2007-04-27,1.2055,0.649616269,1.1,4.85,2.065023
2007-04-30,1.2062,0.649616269,1.1,4.8,2.066636
2007-05-01,1.2145,0.611071867,0.2,4.69,2.066636
2007-05-02,1.2143,0.611071867,0.2,4.72,2.116049
2007-05-03,1.2159,0.611071867,0.2,4.74,2.082261
2007-05-04,1.2097,0.611071867,0.2,4.74,2.044093
2007-05-07,1.2116,0.611071867,0.2,4.76,2.052778
2007-05-08,1.2181,0.611071867,0.2,4.76,2.049442
2007-05-09,1.2188,0.611071867,0.2,4.75,2.050322
2007-05-10,1.2198,0.611071867,0.2,4.77,2.038687
2007-05-11,1.2181,0.611071867,0.2,4.75,2.011069
